연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,cluster,cluster_3-5세,cluster_6-8세,cluster_9-11세
3-5세,210,360,3.75,1.75,0.2653061224489795,0.3333333333333333,2,2,3,0.0,,
3-5세,110,200,3.75,1.5,0.6859504132231407,0.8150000000000001,2,3,3,2.0,,
3-5세,60,180,0.5,0.5,1.0,1.0,2,5,0,1.0,,
3-5세,180,300,1.75,1.0,0.5555555555555556,0.52,5,4,2,2.0,,
3-5세,60,60,0.5,0.5,1.0,1.0,3,4,0,1.0,,
3-5세,180,240,2.0,0.75,0.3333333333333333,0.375,3,3,2,2.0,,
3-5세,240,360,2.0,0.75,0.5,0.5,4,5,2,2.0,,
3-5세,210,270,3.25,1.25,0.4285714285714285,0.5061728395061729,4,4,3,2.0,,
3-5세,120,240,2.5,1.25,0.5,0.375,2,5,3,2.0,,
3-5세,51,130,1.75,0.75,0.6539792387543252,0.8579881656804735,4,7,0,1.0,,
3-5세,150,150,2.5,1.0,0.6800000000000002,0.6800000000000002,2,3,2,2.0,,
3-5세,300,240,1.25,0.75,0.52,0.5,3,3,2,2.0,,
3-5세,40,60,1.25,0.5,1.0,1.0,2,9,0,1.0,,
3-5세,270,180,4.0,1.0,0.3086419753086419,0.5555555555555556,3,7,3,2.0,,
3-5세,130,190,2.0,1.25,0.4319526627218935,0.5013850415512465,3,6,2,2.0,,
3-5세,180,270,2.5,1.25,0.5555555555555556,0.5061728395061729,7,7,3,2.0,,
3-5세,755,81,3.25,1.5,0.456339634226569,0.5732357872275566,1,2,3,0.0,,
3-5세,90,90,3.5,1.25,0.2592592592592592,0.2592592592592592,5,5,3,2.0,,
3-5세,95,75,1.75,1.0,0.5013850415512465,0.4488888888888889,4,6,2,2.0,,
3-5세,120,120,0.5,0.75,0.5,0.5,2,4,2,2.0,,
3-5세,150,180,1.5,0.5,0.6800000000000002,1.0,5,5,0,1.0,,
3-5세,120,121,1.5,1.0,0.5,0.5000341506727682,6,6,2,2.0,,
3-5세,50,60,2.5,0.75,0.52,0.5,4,6,2,2.0,,
3-5세,90,120,1.25,0.25,0.5555555555555556,1.0,2,9,0,1.0,,
3-5세,180,720,1.5,1.5,0.3333333333333333,0.3333333333333333,4,5,3,0.0,,
3-5세,20,20,0.75,0.25,1.0,1.0,4,4,0,1.0,,
3-5세,60,60,1.25,0.5,1.0,1.0,1,5,0,1.0,,
3-5세,300,360,2.5,1.0,0.52,0.5,2,5,3,2.0,,
3-5세,60,120,1.25,0.5,1.0,1.0,9,9,0,1.0,,
3-5세,90,240,1.25,1.0,1.0,0.625,7,6,2,1.0,,
3-5세,61,185,1.5,0.5,0.9677506046761624,0.9474068663257852,4,4,0,1.0,,
3-5세,120,180,1.5,0.75,0.375,0.5,5,5,2,2.0,,
3-5세,220,480,5.0,2.0,0.256198347107438,0.28125,2,3,3,0.0,,
3-5세,120,180,1.25,0.5,1.0,1.0,5,5,0,1.0,,
3-5세,120,120,2.0,0.5,0.625,1.0,5,5,0,1.0,,
3-5세,60,95,1.25,1.0,0.5,0.5013850415512465,5,7,2,2.0,,
3-5세,90,180,2.5,1.0,0.5555555555555556,0.5555555555555556,5,5,2,2.0,,
3-5세,180,360,1.25,1.0,1.0,0.7222222222222223,2,7,2,1.0,,
3-5세,90,120,2.0,0.5,0.5555555555555556,1.0,6,7,0,1.0,,
3-5세,152,280,1.0,0.5,0.51696675900277,0.625,7,6,2,1.0,,
3-5세,0,30,0.0,0.25,0.0,1.0,7,7,0,1.0,,
3-5세,110,210,2.0,0.75,0.7024793388429753,0.7551020408163265,6,6,2,1.0,,
3-5세,160,280,3.75,1.5,0.34375,0.3877551020408163,3,5,3,2.0,,
3-5세,101,123,3.75,1.5,0.4627977649250073,0.4919690660321237,4,6,3,2.0,,
3-5세,150,180,2.5,1.0,0.6800000000000002,0.5555555555555556,4,7,2,2.0,,
3-5세,215,215,2.75,1.25,0.4872904272579773,0.4872904272579773,7,7,3,2.0,,
3-5세,120,240,2.5,1.0,0.5,0.375,2,3,2,2.0,,
